phase,checkpoint_instances,strict_solved,isolated_solved,core_solved,strict_rate,isolated_rate,core_rate
first,36,13,13,31,0.3611111111111111,0.3611111111111111,0.8611111111111112
middle,124,11,38,84,0.08870967741935484,0.3064516129032258,0.6774193548387096
final,36,0,2,15,0.0,0.05555555555555555,0.4166666666666667
