difficulty,problems,checkpoints,strict_solved,isolated_solved,core_solved,strict_rate,isolated_rate,core_rate,mean_steps,mean_duration_seconds,cost
easy,12,67,6,25,58,0.08955223880597014,0.373134328358209,0.8656716417910447,47.1044776119403,436.4966833880597,19.684631
medium,12,57,11,20,35,0.19298245614035087,0.3508771929824561,0.6140350877192983,80.6842105263158,1011.4804852807017,43.13649
hard,12,72,7,8,37,0.09722222222222222,0.1111111111111111,0.5138888888888888,133.58333333333334,1697.9421825138888,104.694212
